date,seek time,R,L
2021/12/30,1640847491.4691956,0,0
2021/12/30,1640847595.0879762,0,0
2021/12/30,1640847743.9604049,0,0
2021/12/30,1640847839.7837238,0,0
2021/12/30,1640847851.5213554,0,2
2021/12/30,1640847863.3168118,2,0
2021/12/30,1640848085.331991,0,0
2021/12/30,1640848098.0950153,1,2
2021/12/30,1640848109.4261122,1,0
2021/12/30,1640848400.268894,0,0
2021/12/30,1640848412.5030355,1,2
2021/12/30,1640848424.0400684,1,0
2021/12/30,1640848683.2504337,0,0
2021/12/30,1640848695.4759178,1,2
2021/12/30,1640848707.501644,1,0
2021/12/30,1640848880.1542926,0,0
2021/12/30,1640848892.6642406,1,2
2021/12/30,1640848903.9285462,1,0
2021/12/30,1640849382.6479387,0,0
2021/12/30,1640849394.815092,1,2
2021/12/30,1640849406.7393422,1,0
2021/12/30,1640849493.8975337,0.0,0.0
2021/12/30,1640849506.0840852,1.0,2.0
2021/12/30,1640849517.3355663,1.0,0.0
